Como as pessoas obtinham coisas de outras aldeias em um mundo sem dinheiro?,"Elas trocavam produtos, um processo chamado escambo."
O que é 'escambo'?,É a troca direta de produtos ou serviços sem o uso de dinheiro.
Cite dois exemplos de itens que já foram utilizados como dinheiro antigamente.,"Sal, tecido, vinho, carne seca e sementes."
Qual era o principal problema em usar itens como sal e carne seca como dinheiro?,"Eles eram perecíveis, ou seja, estragavam com o tempo."
"Para resolver o problema dos itens perecíveis, o homem passou a usar os _____ para as trocas.",metais preciosos
O que levou à criação do papel-moeda (cédulas)?,As moedas de metal eram muito pesadas para carregar.
O que eram as 'Casas de Custódia'?,Eram locais onde as pessoas depositavam seus metais preciosos e recebiam em troca o papel-moeda.
O que são 'cédulas'?,São as notas de papel-moeda que usamos hoje.
"Segundo o material, o que é dinheiro?",São moedas e notas (cédulas) que usamos para comprar o que precisamos ou desejamos.
"De acordo com os primeiros relatos, qual povo antigo está associado à origem dos bancos?",O povo Fenício.
Quando os bancos se firmaram como instituições financeiras?,"No século XVII, com o surgimento do papel-moeda."
O que é pago aos bancos para guardar dinheiro e usar seus produtos e serviços?,Uma tarifa.
Conceito: Juros,É o preço do dinheiro; um valor que se recebe ao emprestar dinheiro ou que se paga ao pegar dinheiro emprestado.
Em que situação um cliente do banco RECEBE juros?,"Quando ele empresta dinheiro ao banco (por exemplo, deixando o dinheiro render)."
Em que situação um cliente do banco PAGA juros?,Quando ele pega dinheiro emprestado do banco.
Qual instituição define a quantidade de dinheiro que um país tem?,O Banco Central de cada país.
Qual instituição é responsável por fabricar o dinheiro de um país?,A Casa da Moeda.
"Geralmente, o que acontece com o valor do dinheiro quando mais dele é produzido?",O seu valor diminui.
Qual é a moeda oficial do Brasil?,Real.
Qual é a moeda oficial dos Estados Unidos?,Dólar.
Qual é a moeda utilizada na Europa?,Euro.
Qual é a moeda oficial da Argentina?,Peso.
"O que é um cartão de crédito ou débito, segundo a cartilha?","É um tipo de dinheiro eletrônico, um cartão de plástico."
O que é uma 'fatura' de cartão de crédito?,"É um documento com a descrição e o valor de tudo que foi comprado no cartão, com uma data de pagamento."
O que é um cheque?,É uma ordem de pagamento à vista emitida por alguém que tem conta no banco.
O que é um boleto bancário?,É um documento que contém o valor de um produto ou serviço e os dados de quem paga e quem recebe.
"Em um boleto bancário, quem é o 'Cedente'?",A pessoa ou empresa que vai receber o dinheiro.
"Em um boleto bancário, quem é o 'Sacado'?",A pessoa ou empresa que vai pagar o valor.
O que é o PIX?,É uma forma moderna de fazer pagamentos e transferir dinheiro.
"Para facilitar as transações, cada pessoa cadastra um apelido ao seu PIX, que é chamado de _____.",Chave PIX
Cite um exemplo de informação que pode ser usada como Chave PIX.,"E-mail, telefone ou CPF."
Qual a principal vantagem do PIX em relação ao tempo da transação?,O valor cai na conta em até 10 segundos.
Quando o serviço do PIX está disponível?,Ele pode ser realizado a qualquer hora.
Qual é o custo do PIX para pessoas físicas?,É grátis.
Qual é outro nome para moeda digital?,Criptomoeda.
Qual é considerada a primeira moeda digital mundial?,Bitcoin.
Os dados de uma operação com Bitcoin são gravados em um banco de dados chamado _____.,Blockchain
O que é 'Satoshi'?,"É a subunidade do Bitcoin, como se fosse os 'centavos' da criptomoeda."
O que o Banco Central do Brasil está preparando em relação à moeda do país?,"O lançamento de uma versão inteligente do dinheiro, o Real Digital."
Quem será o responsável pela fabricação do Real Digital?,O Banco Central.
Como as pessoas poderão obter o Real Digital?,Será entregue em troca de reais tradicionais.
"A criação de uma moeda digital é uma tendência mundial. Cite um país, além do Brasil, que está discutindo o tema.","China, Suécia ou Venezuela."
